,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
403,bar|740 3703,1,0,0,0,0
404,bar|740 4805,1,0,0,0,0
405,bar|740 5254,1,0,0,0,0
406,bar|740 6003,1,0,0,0,0
407,bar|740 6712,8,0,0,0,0
408,bar|740 6854,1,0,0,0,0
409,bar|740 7279,2,0,0,0,0
410,bar|740 7682,1,0,0,0,0
411,bar|740 8030,1,0,0,0,0
412,bar|740 8561,278,0,0,0,0
413,bar|740 9963,7,0,0,0,0
414,bar|740 11570,1,0,0,0,0
415,bar|740 13371,11,0,0,0,0
416,bar|740 15846,1,0,0,0,0
417,bar|747 688,1033,1,0,0,0
418,bar|747 10883,507,108014,49,22,618
419,bar|749 4178,27,0,0,5,0
420,bar|749 4626,1,0,0,0,0
421,bar|750 4155,14665,29,144,0,1
422,bar|750 4352,1,0,0,0,0
423,bar|750 12131,1,0,0,0,0
424,bar|750 12921,1,0,0,0,0
425,bar|756 9830,68,0,0,0,0
426,bar|758 13312,203,0,0,0,0
427,bar|763 10801,1448,0,0,0,0
428,bar|765 609,1,0,0,0,0
429,bar|767 5218,16,0,1124,20,347
430,bar|767 14275,267,0,0,0,0
431,bar|772 11103,1,0,0,0,0
432,bar|773 12635,28,0,296,2,1
433,bar|777 2071,484,0,0,0,0
434,bar|777 5904,1415,0,0,0,0
435,bar|789 5365,4,0,0,0,0
436,bar|789 9597,9,0,0,0,0
437,bar|791 93,2,0,0,0,0
438,bar|791 3649,9052,0,0,0,0
439,bar|793 5901,115,0,0,0,0
440,bar|793 10503,1,0,0,0,0
441,bar|796 5898,3155,0,0,0,0
442,bar|798 11156,126,0,13,0,0
443,bar|799 7734,44,157756,2,17,241
444,bar|800 4078,1,0,0,0,0
445,bar|800 10590,1,0,0,0,0
446,bar|803 6446,1,0,0,0,0
447,bar|805 9709,124,54982,74,20,268
448,bar|807 13747,728,0,0,0,0
449,bar|808 9093,124,112507,96,43,1066
450,bar|811 15725,21,0,0,0,0
451,bar|815 3366,1,0,0,0,0
452,bar|815 11823,35571,6,3,1,1
453,bar|815 15919,1,0,0,0,0
454,bar|819 15479,1,0,0,0,0
455,bar|820 5515,23,0,764,36,1
456,bar|820 8612,53,0,0,0,0
457,bar|825 5490,4190,1796,1626906,5323,7891
458,bar|833 2514,1886,0,63,0,0
459,bar|833 3795,1,0,0,0,0
